rut,topic,value,name
link_4524,topic_1,2.088475497578416e-27,Análisis financiero
link_4524,topic_2,28.000000000000064,Gestión de proyectos
link_4524,topic_3,5.0344222567867327e-203,Sistemas e informática
link_4524,topic_4,6.856777379974632e-202,Planificación estratégica
link_4524,topic_5,2.4496240848018724e-201,Estrategia de negocios
link_2507,topic_1,0,Análisis financiero
link_2507,topic_2,36.00000000000008,Gestión de proyectos
link_2507,topic_3,1.1042137594992234e-204,Sistemas e informática
link_2507,topic_4,2.3666537096703833e-291,Planificación estratégica
link_2507,topic_5,5e-324,Estrategia de negocios
15989878,topic_1,0,Análisis financiero
15989878,topic_2,0,Gestión de proyectos
15989878,topic_3,22.999999999999986,Sistemas e informática
15989878,topic_4,0,Planificación estratégica
15989878,topic_5,0,Estrategia de negocios
link_4124,topic_1,0,Análisis financiero
link_4124,topic_2,24.469198967327337,Gestión de proyectos
link_4124,topic_3,5e-324,Sistemas e informática
link_4124,topic_4,10.530801032672699,Planificación estratégica
link_4124,topic_5,1.1963425950762804e-100,Estrategia de negocios
9250430,topic_1,19.00000000000004,Análisis financiero
9250430,topic_2,19.000000000000036,Gestión de proyectos
9250430,topic_3,0,Sistemas e informática
9250430,topic_4,5e-324,Planificación estratégica
9250430,topic_5,0,Estrategia de negocios
link_24,topic_1,0,Análisis financiero
link_24,topic_2,31.000000000000068,Gestión de proyectos
link_24,topic_3,0,Sistemas e informática
link_24,topic_4,9.04035095300298e-62,Planificación estratégica
link_24,topic_5,0,Estrategia de negocios
link_4120,topic_1,25.446852551194343,Análisis financiero
link_4120,topic_2,4.553147448805704,Gestión de proyectos
link_4120,topic_3,5e-324,Sistemas e informática
link_4120,topic_4,0,Planificación estratégica
link_4120,topic_5,0,Estrategia de negocios
link_5551,topic_1,0,Análisis financiero
link_5551,topic_2,44.000000000000085,Gestión de proyectos
link_5551,topic_3,0,Sistemas e informática
link_5551,topic_4,0,Planificación estratégica
link_5551,topic_5,0,Estrategia de negocios
link_1575,topic_1,0,Análisis financiero
link_1575,topic_2,0.87755371160954,Gestión de proyectos
link_1575,topic_3,0.7224437419897523,Sistemas e informática
link_1575,topic_4,14.400002546400685,Planificación estratégica
link_1575,topic_5,0,Estrategia de negocios
link_4726,topic_1,0,Análisis financiero
link_4726,topic_2,42.53288897486748,Gestión de proyectos
link_4726,topic_3,5.464848280801498,Sistemas e informática
link_4726,topic_4,0.002262744331112761,Planificación estratégica
link_4726,topic_5,5e-324,Estrategia de negocios
link_7115,topic_1,0,Análisis financiero
link_7115,topic_2,17.199993135328793,Gestión de proyectos
link_7115,topic_3,0,Sistemas e informática
link_7115,topic_4,2.1027479580896467,Planificación estratégica
link_7115,topic_5,6.697258906581579,Estrategia de negocios
link_1880,topic_1,0,Análisis financiero
link_1880,topic_2,0,Gestión de proyectos
link_1880,topic_3,8.799999999999992,Sistemas e informática
link_1880,topic_4,10.199999999999989,Planificación estratégica
link_1880,topic_5,0,Estrategia de negocios
link_2666,topic_1,0,Análisis financiero
link_2666,topic_2,24.614829450029085,Gestión de proyectos
link_2666,topic_3,5.139196780123173e-303,Sistemas e informática
link_2666,topic_4,10.385170549970951,Planificación estratégica
link_2666,topic_5,3.9226106023093635e-74,Estrategia de negocios
link_3132,topic_1,20.200000000000035,Análisis financiero
link_3132,topic_2,4.800000000000006,Gestión de proyectos
link_3132,topic_3,0,Sistemas e informática
link_3132,topic_4,0,Planificación estratégica
link_3132,topic_5,0,Estrategia de negocios
link_393,topic_1,3.460012442636194e-172,Análisis financiero
link_393,topic_2,34.990740772554254,Gestión de proyectos
link_393,topic_3,0.009259227445816037,Sistemas e informática
link_393,topic_4,0,Planificación estratégica
link_393,topic_5,5e-324,Estrategia de negocios
link_5448,topic_1,0,Análisis financiero
link_5448,topic_2,36.00000000000008,Gestión de proyectos
link_5448,topic_3,5e-324,Sistemas e informática
link_5448,topic_4,0,Planificación estratégica
link_5448,topic_5,5e-324,Estrategia de negocios
link_4073,topic_1,0,Análisis financiero
link_4073,topic_2,28.00000000000006,Gestión de proyectos
link_4073,topic_3,2.9401133821037536e-79,Sistemas e informática
link_4073,topic_4,9.315604e-317,Planificación estratégica
link_4073,topic_5,0,Estrategia de negocios
link_5165,topic_1,0,Análisis financiero
link_5165,topic_2,14.60000000000003,Gestión de proyectos
link_5165,topic_3,0,Sistemas e informática
link_5165,topic_4,0.1999999999999986,Planificación estratégica
link_5165,topic_5,0.19999999999999998,Estrategia de negocios
link_5623,topic_1,0,Análisis financiero
link_5623,topic_2,25.00000000000005,Gestión de proyectos
link_5623,topic_3,5e-324,Sistemas e informática
link_5623,topic_4,0,Planificación estratégica
link_5623,topic_5,0,Estrategia de negocios
